transaction_id,transaction_date,amount,account_type,category,business_unit,region,customer_id,vendor_id,description
TRX100039,2022-12-19,-18304.84,Expense,Payroll,Enterprise,East,,VEND1106,Save in thing model.
TRX100040,2023-10-29,248459.88,Revenue,Subscription,Online,East,CUST10022,,Defense argue help someone action throw.
TRX100041,2022-10-04,120099.72,Revenue,Product,Online,East,CUST10128,,Reduce suddenly against ball medical.
TRX100042,2022-11-23,-39571.02,Expense,Other,Online,South,,VEND1063,Far make skill lose audience art.
TRX100043,2023-04-17,79909.54,Revenue,Subscription,Retail,East,CUST10251,,Tax north line it fund describe.
TRX100044,2023-02-20,-50444.36,Expense,Other,Enterprise,North,,VEND1020,Follow put campaign lose summer lot if others.
TRX100045,2022-11-14,-22716.39,Expense,Supplies,Retail,East,,VEND1062,Structure have effect.
TRX100046,2023-01-08,-14936.32,Expense,Marketing,Online,East,,VEND1025,Second get its since return.
TRX100047,2023-09-30,141946.92,Revenue,Service,Retail,West,CUST10342,,Then section each support majority.
TRX100048,2023-12-05,-28844.76,Expense,Supplies,Online,West,,VEND1060,Where keep leader computer father brother a give.
TRX100049,2022-08-09,-66244.0,Expense,Supplies,Enterprise,North,,VEND1089,Big itself serious.
TRX100050,2023-04-02,15704.88,Asset,Asset,Enterprise,East,,,Test fill perform voice.
TRX100051,2022-09-18,209846.71,Revenue,Subscription,Retail,South,CUST10190,,School common voice itself.
TRX100052,2022-06-16,-45798.81,Expense,Marketing,Enterprise,East,,VEND1011,Majority early special record sit scene price.
TRX100053,2022-05-06,-22712.23,Expense,Payroll,Enterprise,North,,VEND1079,Daughter training suffer miss money.
TRX100054,2022-11-16,-51925.51,Expense,Other,Online,East,,VEND1098,Including measure leave road leg mention.
TRX100055,2023-02-03,-42768.16,Expense,Rent,Online,North,,VEND1082,Technology far reach thought probably cover increase.
TRX100056,2022-04-04,-22339.95,Expense,Marketing,Retail,East,,VEND1001,Play prepare red goal.
TRX100057,2023-03-10,-43856.82,Expense,Utilities,Enterprise,West,,VEND1042,Hard this despite certain they both provide machine.
TRX100058,2022-06-18,86224.06,Revenue,Product,Retail,East,CUST10151,,Summer everyone his magazine six value week.
TRX100059,2022-09-14,196305.77,Revenue,Service,Enterprise,West,CUST10016,,Pm like matter price personal for.
TRX100060,2023-12-11,144148.9,Revenue,Product,Online,South,CUST10049,,True shoulder away.
TRX100061,2022-11-07,161193.89,Revenue,Product,Online,South,CUST10129,,Page truth although under for water analysis.
TRX100062,2022-09-04,157413.67,Revenue,Service,Online,West,CUST10183,,Early choice speech follow fund measure.
TRX100063,2022-01-22,113690.25,Revenue,Subscription,Enterprise,West,CUST10348,,Same whether interesting half Republican.
TRX100064,2023-08-14,194267.47,Revenue,Subscription,Online,East,CUST10075,,Half toward his.
TRX100065,2023-04-02,-53590.9,Expense,Marketing,Enterprise,South,,VEND1107,Source learn expect show.
TRX100066,2022-10-10,-29061.06,Expense,Other,Retail,North,,VEND1019,House performance sign deep.
TRX100067,2022-12-09,-48080.35,Expense,Rent,Retail,North,,VEND1030,Home now local perform by.
TRX100068,2022-07-07,218024.69,Revenue,Product,Online,North,CUST10321,,Dog eight perhaps audience past eye.
TRX100069,2022-07-07,-38127.82,Expense,Rent,Enterprise,West,,VEND1086,His another government threat choose water fear.
TRX100070,2023-03-04,-31873.97,Expense,Rent,Retail,North,,VEND1086,Enjoy keep pass write state even bank.
TRX100071,2023-06-05,203084.24,Revenue,Subscription,Online,West,CUST10116,,Possible talk model why we town decade.
TRX100072,2023-12-30,222948.96,Revenue,Subscription,Online,North,CUST10063,,Black sit anyone language song show watch better.
TRX100073,2023-12-10,238667.54,Revenue,Product,Enterprise,South,CUST10137,,Rate reflect building guess well TV.
TRX100074,2022-04-22,132774.78,Revenue,Subscription,Retail,South,CUST10298,,And stop raise somebody nice.
TRX100075,2023-09-17,188545.69,Revenue,Subscription,Enterprise,North,CUST10187,,Wonder increase hundred today final debate.
TRX100076,2023-05-10,138240.93,Revenue,Service,Retail,East,CUST10285,,Pick fast one entire.
TRX100077,2023-08-11,-14341.81,Expense,Payroll,Online,North,,VEND1095,East very manager set act perhaps company ability.
TRX100078,2022-12-09,163678.6,Revenue,Product,Enterprise,West,CUST10207,,Three specific late economic serious word.
TRX100079,2022-10-17,198317.9,Revenue,Product,Enterprise,West,CUST10207,,Continue beyond suffer plant student.
TRX100080,2023-08-15,188616.88,Revenue,Product,Retail,North,CUST10108,,Doctor surface girl friend everybody thousand under.
TRX100081,2022-06-26,-25218.03,Expense,Marketing,Online,East,,VEND1089,Kid item feeling less player.
TRX100082,2023-09-27,-15892.26,Expense,Supplies,Enterprise,South,,VEND1025,Increase mouth your indeed.
TRX100083,2022-09-03,199974.44,Revenue,Subscription,Enterprise,South,CUST10092,,Letter along six agent staff industry who.
TRX100084,2022-05-05,128923.58,Revenue,Service,Enterprise,North,CUST10082,,Cell prevent goal view water shake matter effect.
TRX100085,2023-02-25,67222.23,Revenue,Service,Online,West,CUST10209,,End cover a enough speak figure.
TRX100086,2022-12-28,186952.56,Revenue,Subscription,Online,West,CUST10089,,Economic behind young American artist main personal.
TRX100087,2023-07-09,164462.06,Revenue,Service,Retail,East,CUST10042,,Girl reveal order deep chair cut sit.
TRX100088,2022-11-07,18077.56,Equity,Equity,Enterprise,South,,,Once fact interest difference section remain.
TRX100089,2023-10-14,72337.28,Revenue,Service,Online,South,CUST10157,,Able finish they defense yet activity.
TRX100090,2022-07-18,-40667.5,Expense,Rent,Online,South,,VEND1090,Instead age animal popular parent baby.
TRX100091,2022-01-04,177006.22,Revenue,Product,Retail,West,CUST10212,,Choose per range week.
TRX100092,2022-07-17,-33821.98,Expense,Other,Online,West,,VEND1059,Lay buy bar century.
TRX100093,2022-07-07,113760.1,Revenue,Service,Enterprise,South,CUST10232,,Congress whose main matter coach loss executive.
TRX100094,2022-02-26,68040.32,Revenue,Service,Retail,South,CUST10121,,Bar rock democratic positive live easy grow.
TRX100095,2023-07-25,114168.76,Revenue,Product,Retail,West,CUST10237,,Certainly believe white money.
TRX100096,2023-04-18,104796.05,Revenue,Product,Online,West,CUST10266,,Support visit else lead call.
TRX100097,2022-03-17,-40864.74,Expense,Other,Retail,East,,VEND1072,But share truth conference seem TV.
TRX100098,2023-08-29,-10569.47,Expense,Supplies,Retail,East,,VEND1065,Officer agree interesting nice risk from medical some.
TRX100099,2023-01-23,-58587.41,Expense,Rent,Online,North,,VEND1055,Report go now get few.
TRX100100,2023-09-07,-52304.95,Expense,Rent,Online,South,,VEND1114,Prove crime everyone garden this a.
TRX100101,2022-07-28,-29143.83,Expense,Rent,Retail,East,,VEND1055,Road teach exactly against.
TRX100102,2022-07-19,25663.11,Asset,Asset,Enterprise,West,,,Whose total make identify.
TRX100103,2023-02-22,-67973.9,Expense,Rent,Online,East,,VEND1096,Opportunity available of keep forward.
TRX100104,2022-01-12,-29643.1,Expense,Payroll,Enterprise,East,,VEND1005,Between religious team despite indeed back.
TRX100105,2022-05-21,152156.21,Revenue,Product,Online,South,CUST10000,,Baby serious enter perform imagine low focus position.
TRX100106,2022-06-15,111093.11,Revenue,Service,Online,South,CUST10242,,Culture nor sound nature dream score.
TRX100107,2022-10-12,160063.62,Revenue,Product,Online,West,CUST10191,,Such source anything article.
TRX100108,2022-06-04,163121.36,Revenue,Service,Enterprise,South,CUST10143,,Other job alone economy movement after.
TRX100109,2022-07-22,211276.4,Revenue,Subscription,Retail,East,CUST10093,,Number world tough pull increase find.
TRX100110,2022-02-18,-32825.35,Expense,Marketing,Retail,West,,VEND1097,First land test claim must section.
TRX100111,2022-12-06,-4636.57,Expense,Payroll,Retail,South,,VEND1021,Point now another early.
TRX100112,2022-02-03,159281.15,Revenue,Service,Enterprise,East,CUST10144,,Old material place think nation even.
TRX100113,2023-06-27,-34378.11,Expense,Rent,Retail,North,,VEND1052,Suddenly land laugh reality write war only eye.
TRX100114,2023-08-08,170722.89,Revenue,Service,Online,West,CUST10215,,Establish later sport state receive manager leg.
TRX100115,2023-08-09,-15399.58,Expense,Supplies,Enterprise,East,,VEND1025,Garden grow say charge.
TRX100116,2023-10-31,15498.98,Equity,Equity,Retail,North,,,National no phone nor they true.
TRX100117,2022-08-22,154491.36,Revenue,Subscription,Enterprise,East,CUST10277,,Hotel cause fall market family president.
TRX100118,2023-12-29,101231.07,Revenue,Service,Online,West,CUST10120,,Law religious treat majority agreement.
TRX100119,2022-12-24,158267.98,Revenue,Subscription,Retail,South,CUST10301,,Democrat name religious consider force.
TRX100120,2023-08-14,-16519.06,Expense,Marketing,Online,North,,VEND1103,Return receive whose find change explain.
TRX100121,2023-04-05,133795.88,Revenue,Product,Online,East,CUST10094,,Large high never near.
TRX100122,2023-02-12,150954.2,Revenue,Subscription,Enterprise,West,CUST10279,,Offer future huge from price require these.
TRX100123,2023-05-01,156547.14,Revenue,Subscription,Online,South,CUST10304,,Might give fast break less.
TRX100124,2022-10-14,-22084.36,Expense,Utilities,Retail,North,,VEND1018,Safe positive base go better body.
TRX100125,2022-03-11,-43759.35,Expense,Payroll,Enterprise,West,,VEND1019,Expect someone they decade heavy fact guy.
TRX100126,2023-05-22,153964.81,Revenue,Subscription,Enterprise,North,CUST10227,,Wife edge agree leg approach role chance tree.
TRX100127,2023-05-08,189532.01,Revenue,Product,Enterprise,West,CUST10356,,Little task any world onto sister be go.
TRX100128,2023-02-21,136617.82,Revenue,Service,Online,South,CUST10181,,Air past better American guess item like under.
TRX100129,2023-03-21,22872.89,Equity,Equity,Retail,West,,,Just according clearly travel.
TRX100130,2023-05-19,225791.57,Revenue,Product,Online,East,CUST10144,,Idea soldier anyone message community safe professor cost.
TRX100131,2022-04-18,-47065.38,Expense,Supplies,Enterprise,East,,VEND1083,Crime ball cultural knowledge rich.
TRX100132,2023-01-05,142464.2,Revenue,Service,Retail,West,CUST10313,,Event still his stay time.
TRX100133,2022-07-13,230992.58,Revenue,Service,Retail,West,CUST10130,,Business stop hear hospital growth.
TRX100134,2022-03-19,-36714.94,Expense,Other,Online,West,,VEND1093,Memory place skill claim paper image area discuss.
TRX100135,2022-02-21,16188.41,Asset,Asset,Enterprise,South,,,Explain article eat range history bar my eight.
TRX100136,2022-05-24,-44941.92,Expense,Payroll,Enterprise,North,,VEND1043,Hospital lot race.
TRX100137,2023-10-16,93719.25,Revenue,Product,Online,South,CUST10072,,Trip public college bill condition recently rate.
TRX100138,2022-04-25,140607.13,Revenue,Service,Retail,North,CUST10279,,But ask us offer movement.
TRX100139,2022-02-07,-45744.35,Expense,Marketing,Enterprise,East,,VEND1047,Fine girl body summer many.
TRX100140,2022-05-24,-42996.07,Expense,Other,Enterprise,South,,VEND1068,Mind common Mrs treatment worry.
TRX100141,2023-06-08,191662.08,Revenue,Service,Online,North,CUST10299,,Toward smile we box long change free public.
TRX100142,2023-01-15,237604.97,Revenue,Subscription,Online,East,CUST10242,,Off floor manage language entire bill although develop.
TRX100143,2022-03-28,159016.86,Revenue,Service,Online,South,CUST10030,,Conference happen well cup another popular decade offer.
TRX100144,2022-06-18,-44833.33,Expense,Other,Online,North,,VEND1065,Development great low movement west interest fast.
TRX100145,2022-07-21,18384.76,Asset,Asset,Retail,South,,,Card only present.
TRX100146,2022-12-03,198337.92,Revenue,Service,Online,North,CUST10244,,Term eight direction room even.
TRX100147,2023-11-18,99439.12,Revenue,Service,Retail,North,CUST10297,,Small simple score poor.
TRX100148,2022-02-24,-51832.07,Expense,Rent,Retail,East,,VEND1082,Morning let artist audience.
TRX100149,2023-12-19,-2000.0,Expense,Marketing,Online,South,,VEND1034,Single find middle bill study pick former.
TRX100150,2023-10-01,-49703.8,Expense,Other,Retail,North,,VEND1061,Side sing hold service find make.
TRX100151,2023-10-28,134505.5,Revenue,Service,Retail,East,CUST10026,,Beyond fill research avoid.
TRX100152,2023-04-05,119708.58,Revenue,Subscription,Online,South,CUST10218,,Put indicate between woman.
TRX100153,2023-01-15,201278.82,Revenue,Service,Enterprise,North,CUST10269,,Fight people never chance.
TRX100154,2022-10-14,149370.98,Revenue,Product,Enterprise,South,CUST10226,,Return such ahead media group have.
TRX100155,2022-12-07,-38870.42,Expense,Supplies,Online,West,,VEND1112,News certainly offer fill develop listen lot.
TRX100156,2022-09-09,12200.16,Equity,Equity,Enterprise,West,,,Important level bit office good lay reveal.
TRX100157,2022-02-06,-2000.0,Expense,Supplies,Enterprise,East,,VEND1005,Dream improve major seat where.
TRX100158,2022-06-07,-69861.91,Expense,Payroll,Retail,West,,VEND1109,Current service operation tree particularly.
TRX100159,2022-10-02,-55950.48,Expense,Other,Retail,South,,VEND1112,Wear without treatment company strategy.
TRX100160,2022-11-28,208463.24,Revenue,Subscription,Retail,East,CUST10219,,Everybody partner student let.
TRX100161,2022-10-14,128155.49,Revenue,Product,Online,North,CUST10322,,Interesting cultural its business wonder tax late.
TRX100162,2022-07-25,187122.76,Revenue,Subscription,Retail,South,CUST10123,,Computer church safe.
TRX100163,2023-07-14,-20907.29,Expense,Utilities,Enterprise,North,,VEND1067,Onto nation fine social nice only PM.
TRX100164,2023-02-07,14823.41,Asset,Asset,Online,East,,,Another maybe bad part meeting.
TRX100165,2023-07-10,-28967.07,Expense,Rent,Online,South,,VEND1116,It nature third discuss cell near.
TRX100166,2022-10-02,169470.48,Revenue,Product,Online,East,CUST10197,,Trial understand company turn yeah.
TRX100167,2023-09-19,-33871.64,Expense,Utilities,Online,South,,VEND1054,Who result foreign another number his season.
TRX100168,2022-05-23,-10104.65,Expense,Payroll,Retail,East,,VEND1052,New institution firm purpose.
TRX100169,2022-01-18,129847.65,Revenue,Product,Online,West,CUST10217,,Lose method he blood age evidence individual.
TRX100170,2023-11-11,-59959.59,Expense,Marketing,Online,East,,VEND1115,Language point feeling sure form until agent reduce.
TRX100171,2023-09-25,132157.59,Revenue,Subscription,Enterprise,East,CUST10371,,Maintain wife final though.
TRX100172,2023-12-13,123500.13,Revenue,Subscription,Enterprise,West,CUST10066,,Body policy space appear.
TRX100173,2023-11-18,184340.52,Revenue,Subscription,Enterprise,North,CUST10297,,Professor community notice per authority what speech.
TRX100174,2022-07-26,161356.91,Revenue,Service,Enterprise,West,CUST10193,,Several message never system large.
TRX100175,2023-10-02,-56282.81,Expense,Marketing,Online,South,,VEND1073,Effect goal as.
TRX100176,2023-02-19,59807.37,Revenue,Product,Online,West,CUST10279,,Might section consumer expert magazine compare bag.
TRX100177,2022-06-30,226510.26,Revenue,Subscription,Retail,East,CUST10245,,Rise in half tell clear local father.
TRX100178,2022-01-04,-51969.38,Expense,Payroll,Online,East,,VEND1077,Week myself table because respond.
TRX100179,2022-09-24,-20758.14,Expense,Marketing,Online,East,,VEND1014,Detail purpose leader rate box situation indeed.
TRX100180,2022-08-22,173663.29,Revenue,Service,Retail,South,CUST10016,,Total full bit each.
TRX100181,2023-09-10,184661.07,Revenue,Product,Online,South,CUST10191,,Forward style guess participant also professional measure.
TRX100182,2022-02-25,-41784.83,Expense,Payroll,Retail,South,,VEND1095,Thought season social join service.
TRX100183,2023-12-04,-61768.28,Expense,Payroll,Enterprise,East,,VEND1093,Personal check above.
TRX100184,2022-01-28,140778.64,Revenue,Service,Enterprise,East,CUST10112,,Establish establish worry shoulder field class.
TRX100185,2022-02-28,110967.18,Revenue,Service,Retail,East,CUST10221,,Interview perhaps tree require capital team enter.
TRX100186,2023-04-03,80490.9,Revenue,Subscription,Online,West,CUST10154,,Poor school manage answer listen method walk already.
TRX100187,2023-07-23,112269.5,Revenue,Product,Online,South,CUST10257,,Personal performance I ground wait air foot.
TRX100188,2023-12-03,256707.72,Revenue,Product,Enterprise,South,CUST10356,,Little up city down bill join.
TRX100189,2023-06-11,-3847.17,Expense,Payroll,Enterprise,South,,VEND1038,Describe second cause bad imagine.
TRX100190,2023-08-29,204542.93,Revenue,Product,Retail,East,CUST10280,,Community kind necessary arrive she drive.
TRX100191,2022-10-29,165512.57,Revenue,Service,Online,South,CUST10084,,Under evening answer ten.
TRX100192,2023-06-14,-37826.65,Expense,Other,Enterprise,West,,VEND1005,Trade west vote book window.
TRX100193,2023-07-29,110532.22,Revenue,Product,Enterprise,West,CUST10138,,Person care set street election system.
TRX100194,2022-09-09,140743.8,Revenue,Subscription,Retail,East,CUST10140,,Build when section herself.
TRX100195,2023-08-21,110450.42,Revenue,Service,Enterprise,East,CUST10344,,Commercial world occur stock charge.
TRX100196,2022-03-31,142685.59,Revenue,Product,Enterprise,South,CUST10309,,Mission protect employee fill old these whole.
TRX100197,2022-08-22,141925.95,Revenue,Product,Retail,West,CUST10050,,Event government goal simple one before still.
TRX100198,2022-05-12,161733.72,Revenue,Subscription,Retail,North,CUST10094,,Head sound project glass finally ask military one.
TRX100199,2022-04-10,195590.93,Revenue,Product,Online,East,CUST10098,,Oil mention gas instead realize store.
TRX100200,2022-10-22,142362.76,Revenue,Product,Online,East,CUST10314,,Happen Democrat my dinner so minute.
TRX100201,2023-02-09,187614.47,Revenue,Service,Retail,West,CUST10118,,Leg real last many growth past compare.
TRX100202,2023-11-12,155269.99,Revenue,Service,Online,South,CUST10178,,Resource win need certain authority.
TRX100203,2022-04-27,13840.21,Equity,Equity,Online,North,,,Mission that include watch degree.
TRX100204,2022-05-26,176192.68,Revenue,Service,Retail,East,CUST10175,,Candidate section somebody simply.
TRX100205,2023-08-10,-68512.38,Expense,Supplies,Retail,North,,VEND1088,Sport build success suggest rule catch.
TRX100206,2023-03-10,168232.54,Revenue,Product,Enterprise,East,CUST10081,,Brother respond assume model.
TRX100207,2023-01-25,149168.32,Revenue,Product,Retail,West,CUST10008,,Discussion skill realize green something several.
TRX100208,2022-07-14,150846.6,Revenue,Service,Enterprise,South,CUST10264,,Poor chance sometimes occur reveal fast event government.
TRX100209,2022-10-26,22375.13,Asset,Asset,Retail,East,,,Want organization finally hope.
TRX100210,2022-03-10,148379.33,Revenue,Subscription,Retail,West,CUST10026,,Daughter couple far.
TRX100211,2023-09-28,-4039.24,Expense,Marketing,Online,North,,VEND1022,Issue war child despite lawyer.
TRX100212,2023-11-02,47134.35,Revenue,Subscription,Retail,East,CUST10198,,Just everyone people before rate.
TRX100213,2022-01-15,90157.01,Revenue,Service,Enterprise,South,CUST10191,,National action everyone home certainly.
TRX100214,2023-05-18,210728.89,Revenue,Service,Online,North,CUST10008,,Choice difficult anything.
TRX100215,2022-02-15,239664.05,Revenue,Subscription,Enterprise,East,CUST10246,,Admit per finally say water pretty.
TRX100216,2023-02-16,-35323.57,Expense,Payroll,Enterprise,East,,VEND1075,Social blue particularly today.
TRX100217,2022-12-04,179064.28,Revenue,Subscription,Retail,East,CUST10106,,Hand mission thousand worry.
TRX100218,2023-01-23,26351.81,Liability,Liability,Online,East,,,Very focus manage serious small call.
TRX100219,2023-12-05,104723.28,Revenue,Product,Retail,North,CUST10172,,Beyond save Republican wrong home.
TRX100220,2023-12-29,200100.57,Revenue,Product,Online,North,CUST10164,,Raise effect change stop business happen.
TRX100221,2023-05-21,200288.76,Revenue,Product,Enterprise,North,CUST10221,,Debate modern call important black somebody.
TRX100222,2023-01-17,-59966.24,Expense,Rent,Enterprise,South,,VEND1030,General him majority walk truth read.
TRX100223,2023-11-18,143333.77,Revenue,Product,Retail,South,CUST10297,,Impact exactly several.
TRX100224,2023-01-18,-37758.51,Expense,Payroll,Online,East,,VEND1024,Within hot day old ask business institution ok.
TRX100225,2023-07-07,-52435.17,Expense,Other,Online,West,,VEND1044,Score fill successful.
TRX100226,2023-01-16,219687.82,Revenue,Subscription,Enterprise,South,CUST10096,,No again specific more big friend religious.
TRX100227,2022-06-25,190706.66,Revenue,Service,Enterprise,North,CUST10276,,Rule deep but without moment board image performance.
TRX100228,2023-08-31,-32221.65,Expense,Marketing,Enterprise,South,,VEND1076,Country hospital party such nor class parent.
TRX100229,2022-10-02,-34065.91,Expense,Other,Online,South,,VEND1104,Arm only others loss.
TRX100230,2023-05-01,115969.76,Revenue,Product,Enterprise,East,CUST10031,,Rate together collection friend pretty call old.
TRX100231,2023-12-30,206771.14,Revenue,Service,Retail,South,CUST10059,,Activity simply himself tree player rich.
TRX100232,2023-11-23,-11089.57,Expense,Payroll,Retail,North,,VEND1083,Project national walk green reduce travel.
TRX100233,2022-02-26,-37243.06,Expense,Marketing,Enterprise,West,,VEND1114,Suddenly change so chair customer animal meeting.
TRX100234,2022-12-30,-60975.57,Expense,Other,Enterprise,East,,VEND1054,Century garden manager manage.
TRX100235,2022-10-27,124412.19,Revenue,Service,Online,North,CUST10071,,Opportunity play reason account since event Republican national.
TRX100236,2022-02-19,143226.17,Revenue,Service,Enterprise,South,CUST10143,,Chair physical detail hair but financial.
TRX100237,2023-10-23,25468.07,Asset,Asset,Online,North,,,Author process live eye.
TRX100238,2023-10-05,127291.15,Revenue,Service,Enterprise,South,CUST10307,,Avoid woman force.
TRX100239,2023-07-13,130463.02,Revenue,Service,Online,West,CUST10275,,Own part game might really style.
TRX100240,2023-04-03,-30172.64,Expense,Payroll,Enterprise,West,,VEND1004,Class blood order big very with.
TRX100241,2022-08-17,198436.19,Revenue,Product,Retail,West,CUST10312,,Country pay professional provide black.
TRX100242,2023-10-24,-66926.77,Expense,Other,Enterprise,North,,VEND1094,Say kid week car thousand decision wait much.
TRX100243,2023-08-15,233980.73,Revenue,Product,Retail,North,CUST10268,,Specific pick answer give economy southern federal.
TRX100244,2023-09-13,-40637.75,Expense,Supplies,Retail,West,,VEND1060,Few need development return.
TRX100245,2023-08-08,184082.85,Revenue,Subscription,Enterprise,West,CUST10354,,Share check moment yourself about writer represent.
TRX100246,2023-03-25,209452.91,Revenue,Service,Online,West,CUST10167,,Government physical enough.
TRX100247,2022-03-09,155723.09,Revenue,Subscription,Retail,North,CUST10370,,Usually between kid difficult deal matter thought.
TRX100248,2022-06-19,-60508.54,Expense,Payroll,Enterprise,North,,VEND1080,Technology early town industry.
TRX100249,2023-02-14,-35202.09,Expense,Payroll,Online,West,,VEND1102,People seek myself success perform chance east.
TRX100250,2023-03-20,-48822.68,Expense,Rent,Online,North,,VEND1020,Eight food like everything whether need much.
TRX100251,2022-08-18,194773.82,Revenue,Product,Online,South,CUST10348,,Return well take card price trial.
TRX100252,2022-12-07,164226.57,Revenue,Subscription,Enterprise,East,CUST10127,,Great Republican tree difficult soldier like heavy check.
TRX100253,2023-02-07,159195.7,Revenue,Service,Enterprise,East,CUST10316,,Who night news newspaper industry box.
TRX100254,2023-10-25,-52095.54,Expense,Payroll,Retail,South,,VEND1001,Give bar action best walk mother.
TRX100255,2022-09-01,-16147.83,Expense,Supplies,Enterprise,East,,VEND1100,Eight probably seem staff understand compare friend.
TRX100256,2023-05-09,178264.7,Revenue,Subscription,Retail,West,CUST10291,,Account stay never environment.
TRX100257,2023-12-10,156945.42,Revenue,Subscription,Retail,South,CUST10137,,Work anything budget kid service.
TRX100258,2022-08-05,-41339.76,Expense,Utilities,Retail,South,,VEND1118,Blue city head change.
TRX100259,2022-05-24,-43202.58,Expense,Other,Online,North,,VEND1111,Hit until yard foot without at sit.
TRX100260,2023-02-14,115218.39,Revenue,Subscription,Online,South,CUST10341,,Time view win research.
TRX100261,2023-12-29,-7357.52,Expense,Supplies,Enterprise,South,,VEND1039,Woman movement authority office very.
TRX100262,2022-05-07,-29490.91,Expense,Supplies,Enterprise,South,,VEND1060,House my line movie case stuff yet.
TRX100263,2022-01-28,-33946.99,Expense,Rent,Online,South,,VEND1010,Within fight wonder radio business old garden.
TRX100264,2022-02-14,194189.19,Revenue,Service,Retail,North,CUST10245,,Owner about way here fire job air.
